model,detail,id,price
Máy xách tay/ Laptop Asus X541UJ-DM544T (I3-6006U) (Đen),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 1TB 5400rpm
VGA NVIDIA GeForce 920M 2GB DDR3 + Intel HD Graphics 520
Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2kg
Hệ điều hành: Windows 10 Home 
64bit",1,10.690.000 ₫
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR11 (I3-6006U) (Đen),"
CPU Intel Core i3-6006U (2.0GHz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 520 - Màn hình: 14"" HD (1366x768) 
Trọng lượng: 1.81kg 
Hệ điều hành: Win 10 Home",2,10.990.000 ₫
Máy xách tay/ Laptop Asus TP410UA-EC429T (I5-8250U) (Xám),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 500GB 5400rpm, 1x slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620
Màn hình: 14.0"" FHD (1920 x 1080) TouchScreen
Trọng lượng: ~ 1.6kg
Hệ điều hành: Windows 10 Home 
64bit",3,17.690.000 ₫
Máy xách tay/ Laptop Asus X541UA-XX272T (I3-6100U) (Đen),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2kg
Hệ điều hành: Windows 10 Home 
64bit",4,10.290.000 ₫
Máy xách tay/ Laptop Asus UX430UN-GV081T (I5-8250U) (Vàng đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit",5,23.590.000 ₫
Máy xách tay/ Laptop Asus X441UA-WX027T (I3-6100U) (Vàng đồng),"
CPU Intel Core i3-6100U (2.3GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 14.0"" HD (1366 x 768)
Trọng lượng: ~ 1.77kg
Hệ điều hành: Windows 10 Home 
64bit",6,10.290.000 ₫
Máy xách tay/ Laptop Asus X510UA-BR650T (I3-7100U) (Đồng),"
CPU Intel Core i3-7100U (2.4GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",7,12.390.000 ₫
Máy xách tay/ Laptop Dell Inspiron 13 7370-7D61Y1 (Bạc),"
CPU: Intel® Core™ i7-8550U 
Ram: 8GB DDR4 2400Mhz 
Ổ cứng: 256GB SSD 
Màn hình: 13.3"" FHD Touch 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10 Home SL + Office 365",8,28.990.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567F (Đen),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.2kg
Hệ điều hành: Win 10 Home",9,14.990.000 ₫
Máy xách tay/ Laptop Dell Vostro 3468-K5P6W12 (I5-7200U) (Đen),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2133MHz
HDD 500GB SATA 5400rpm
VGA AMD Radeon R5 M420 2GB + Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 2kg
Hệ điều hành: Win 10 Home",10,14.790.000 ₫
Máy xách tay/ Laptop Dell Inspiron 13 7370-7D61Y2 (Bạc),"
CPU: Intel® Core™ i7-8550U 
Ram: 16GB DDR4 
Ổ cứng: 512GB SSD 
Màn hình: 13.3"" FHD 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10",11,34.390.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc048TX (2GV11PA) (Vàng),"
CPU:Intel Core i7 7500U
Ram:8GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2.16 kg
Hệ điều hành có sẵn: Free Dos",12,17.990.000 ₫
Máy xách tay/ Laptop Acer A315-51-3932 (NX.GNPSV.023) (Đen),"
CPU: Intel® Core i3 -6006U 2.0GHz 3MB Cache L3
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB SATA3
Màn hình: 15.6"" HD resolution Acer ComfyView LCD anti-glare
Trọng lượng: 2.3 kg
Hệ điều hành có sẵn: Free Dos",13,8.990.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-au109TU (Y4G14PA) (Bạc),"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 2 kg
Hệ điều hành có sẵn: Win 10",14,11.490.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567D (Đen),"CPU Intel Core i3-6006U (2.0GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.0kg
Hệ điều hành: Win 10 Home",15,11.690.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320S-14IKBR-81BN0051VN (i5-8250U) (Xám),"
CPU: Intel Core i5 Kabylake Refresh, 8250U, 1.60 GHz 
Ram: 4 GB, DDR4 (1 khe), 2133 MHz 
Ổ cứng: HDD 1 TB 
Màn hình: 14 inch, Full HD (1920 x 1080) 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10",16,13.000.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 520s-14IKB 81BL0086VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10 SL",17,14.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 720s-13IKB 81BV0061VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 8GB DDR4 
Ổ cứng: 256GB SSD_PCIe 
Màn hình: 13.3"" FHD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Windows 10 SL",18,21.990.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02GVN (Đen),"
CPU: Intel® Core™ i5-7200U 
Ram: 4GB DDR4 
Ổ cứng: 500GB 7200rpm 
Màn hình: 15.6” HD 
Trọng lượng: 2.3kg 
Hệ điều hành có sẵn: Windows 10 SL",19,15.850.000 ₫
